iter	Logloss
0	0.6867574262
1	0.6810062461
2	0.6750528066
3	0.668848139
4	0.6641547369
5	0.6587442518
6	0.6531120256
7	0.6475164047
8	0.6434409142
9	0.6384109633
10	0.6345493048
11	0.6296337552
12	0.6248498512
13	0.6212336641
14	0.6165144185
15	0.6121072469
16	0.6074264634
17	0.6025441778
18	0.5982350924
19	0.5938608888
20	0.5897055747
21	0.5856128891
22	0.5815203009
23	0.5779324915
24	0.5743758651
25	0.5706359298
26	0.5672831394
27	0.5638804429
28	0.5602060763
29	0.557049146
30	0.553977651
31	0.5510872636
32	0.5481749314
33	0.5455709585
34	0.5428899365
35	0.5402713869
36	0.5373968659
37	0.5348454045
38	0.5322502782
39	0.5295235182
40	0.5270740651
41	0.5249028721
42	0.5223395372
43	0.5197025332
44	0.5173947986
45	0.5150629939
46	0.5128597594
47	0.5106485651
48	0.508820858
49	0.5070973002
50	0.5051989037
51	0.5031297463
52	0.5012363477
53	0.4994721889
54	0.4978988749
55	0.4959382668
56	0.4942739654
57	0.4924354066
58	0.4908044947
59	0.4892715417
60	0.4883507726
61	0.4867820731
62	0.4852375359
63	0.4837221388
64	0.4820816413
65	0.4807263197
66	0.4793077785
67	0.4780268652
68	0.4769111651
69	0.475671394
70	0.4743854242
71	0.4731109967
72	0.4718442785
73	0.4707277815
74	0.4696811035
75	0.4685661703
76	0.4676658109
77	0.4667338214
78	0.4657794151
79	0.4648827642
80	0.463908638
81	0.4629913055
82	0.461930354
83	0.4609290216
84	0.4603228272
85	0.4593541975
86	0.4584472193
87	0.4575885711
88	0.45668912
89	0.4558922117
90	0.4551169841
91	0.4544051899
92	0.4535531186
93	0.4527015364
94	0.4518099158
95	0.4509526409
96	0.4501725938
97	0.4495560464
98	0.4492143481
99	0.448434665
100	0.4478620558
101	0.4472134164
102	0.4466236687
103	0.4459759814
104	0.4450935844
105	0.4444205374
106	0.4438932931
107	0.4435447387
108	0.4429667197
109	0.4423282618
110	0.4416624439
111	0.4410790457
112	0.4404216139
113	0.4398629412
114	0.4393330119
115	0.4389193485
116	0.43836459
117	0.4378446738
118	0.4373145015
119	0.4368430429
120	0.4363243586
121	0.435852283
122	0.4353272409
123	0.4348568016
124	0.4343295172
125	0.4339876215
126	0.4335279095
127	0.4332565464
128	0.4328435585
129	0.4324412634
130	0.4319809948
131	0.431461169
132	0.4310450479
133	0.4305315538
134	0.4301685506
135	0.4297033561
136	0.4292504508
137	0.4288647345
138	0.4285047829
139	0.4281147581
140	0.4276142123
141	0.4272926929
142	0.4269386757
143	0.4265810007
144	0.4262757665
145	0.4258859579
146	0.4255841121
147	0.42524993
148	0.4251500934
149	0.4246934064
150	0.4243681421
151	0.4240856964
152	0.4237088178
153	0.4234259881
154	0.4230780213
155	0.4227596036
156	0.4224940923
157	0.4221899244
158	0.4218459976
159	0.4217372283
160	0.421433061
161	0.4211525795
162	0.42089574
163	0.4206408051
164	0.420377319
165	0.4199883573
166	0.4197154776
167	0.4195020425
168	0.4191720531
169	0.4188602291
170	0.4187955845
171	0.4185656608
172	0.4184152083
173	0.4181366692
174	0.4178502225
175	0.4174945947
176	0.4173472765
177	0.4171098882
178	0.4168757138
179	0.4165662001
180	0.4163666513
181	0.4161930175
182	0.4160040913
183	0.4156907747
184	0.4153866306
185	0.4151893781
186	0.4149822516
187	0.4148283467
188	0.4147482646
189	0.4145730098
190	0.414386873
191	0.4141601025
192	0.4139613581
193	0.4137528959
194	0.413673142
195	0.4134184977
196	0.4132820723
197	0.4130832155
198	0.4128589735
199	0.4126664384
200	0.4124470198
201	0.4122943651
202	0.4121462592
203	0.411970512
204	0.4118250358
205	0.4116700395
206	0.4114892728
207	0.4113874516
208	0.411188376
209	0.411004418
210	0.4108882695
211	0.4108316101
212	0.4106718038
213	0.4104649512
214	0.4102654011
215	0.4100791075
216	0.4099030053
217	0.4097410906
218	0.4095985471
219	0.4093948114
220	0.409229938
221	0.4091030371
222	0.4089771854
223	0.4088366351
224	0.4087985316
225	0.4086528018
226	0.4085959938
227	0.4084358142
228	0.4082748761
229	0.4081493103
230	0.4081097895
231	0.4078922829
232	0.4077242232
233	0.407525224
234	0.4073675912
235	0.407244781
236	0.4070613958
237	0.4068525276
238	0.40671119
239	0.406540644
240	0.4064048621
241	0.406259902
242	0.4061148451
243	0.4059763282
244	0.4058101114
245	0.4057321821
246	0.4057083524
247	0.4055599862
248	0.4054256049
249	0.4052595481
250	0.4051761701
251	0.4050160411
252	0.4048402943
253	0.4047611847
254	0.4046465836
255	0.4045520257
256	0.4044188723
257	0.4042457895
258	0.4041742587
259	0.4040403506
260	0.4039364691
261	0.4038602929
262	0.4037431551
263	0.4036444501
264	0.4035171657
265	0.4033679057
266	0.4031961475
267	0.4030774796
268	0.4030245427
269	0.4029175702
270	0.4028069247
271	0.4027558283
272	0.4026801622
273	0.4025472327
274	0.4024282305
275	0.4023401752
276	0.4022189672
277	0.4021238883
278	0.402015154
279	0.4019201091
280	0.4017895213
281	0.4016666538
282	0.4015626437
283	0.4014197886
284	0.4012384213
285	0.4011310466
286	0.4010872464
287	0.4009967613
288	0.4008560445
289	0.4007930597
290	0.4006973011
291	0.4005889758
292	0.4005414408
293	0.4004857719
294	0.4003503518
295	0.4002746071
296	0.4001880956
297	0.4000989169
298	0.3999823495
299	0.3999157483
300	0.3997868193
301	0.3997295769
302	0.3996739161
303	0.3995556259
304	0.3994787937
305	0.3993268543
306	0.3992791669
307	0.399265046
308	0.3992047749
309	0.399141464
310	0.3990705446
311	0.3990004412
312	0.3989564347
313	0.3989262976
314	0.3988692276
315	0.3987990052
316	0.398742799
317	0.3986843859
318	0.3985705978
319	0.3984032146
320	0.3982869946
321	0.3981991891
322	0.3981012285
323	0.3980482315
324	0.3979933255
325	0.3978693656
326	0.3978171712
327	0.3977071872
328	0.3976449145
329	0.3975514155
330	0.3975010868
331	0.397440035
332	0.3973584364
333	0.397258458
334	0.3971551668
335	0.3971103336
336	0.3970499972
337	0.3969875722
338	0.3969699793
339	0.3969035953
340	0.3967998039
341	0.3967449073
342	0.3966132468
343	0.3965664827
344	0.3964770626
345	0.3964198521
346	0.3963258197
347	0.3962009328
348	0.3961072813
349	0.3960032051
350	0.3959547843
351	0.3959421518
352	0.3958648059
353	0.3957606044
354	0.3956677563
355	0.3956045063
356	0.3955494572
357	0.395506438
358	0.3954453039
359	0.3953072213
360	0.3952065449
361	0.3951985203
362	0.3951070294
363	0.3950950641
364	0.3950567235
365	0.3949836976
366	0.3949544559
367	0.39485811
368	0.3947843965
369	0.3947098189
370	0.3946704403
371	0.3946642654
372	0.3945552354
373	0.3944681876
374	0.3943998799
375	0.3943349244
376	0.3942448431
377	0.3941675985
378	0.3940253424
379	0.3940077681
380	0.393925679
381	0.3938677736
382	0.3938054042
383	0.3937657842
384	0.3937190319
385	0.3936704726
386	0.3935963824
387	0.3935607549
388	0.3934422606
389	0.3933967823
390	0.393292033
391	0.393250427
392	0.3931851604
393	0.3931140849
394	0.3930109338
395	0.392948641
396	0.3928970549
397	0.3927964335
398	0.3927959709
399	0.3927696496
400	0.392697564
401	0.3926522191
402	0.3925979446
403	0.3925610809
404	0.3925072231
405	0.3924629554
406	0.3924049642
407	0.3922969015
408	0.3922829879
409	0.3922212576
410	0.3921760826
411	0.3920946519
412	0.3920739154
413	0.3920198247
414	0.3919713916
415	0.3919461516
416	0.3918974084
417	0.3918322346
418	0.3918317446
419	0.3918261874
420	0.3917480818
421	0.3916810694
422	0.3916743306
423	0.3915922313
424	0.3914946441
425	0.3913446075
426	0.3913437564
427	0.391320437
428	0.3912310286
429	0.3912156403
430	0.3910845031
431	0.391054826
432	0.3909661118
433	0.3909418171
434	0.3909108864
435	0.390909692
436	0.3908302783
437	0.3907995209
438	0.3907739133
439	0.3907314762
440	0.390714574
441	0.3906770069
442	0.3906229189
443	0.3905966244
444	0.3905832256
445	0.3905022817
446	0.3903572952
447	0.3902845526
448	0.3902453555
449	0.3902453555
450	0.3901767705
451	0.3901343832
452	0.3901308369
453	0.3901308368
454	0.3900596391
455	0.3899827917
456	0.389935623
457	0.3898761522
458	0.3898006693
459	0.389771743
460	0.3896899021
461	0.3895943961
462	0.3895491669
463	0.3895129274
464	0.3894596194
465	0.3894596193
466	0.3894033839
467	0.3893761
468	0.389311585
469	0.3892846578
470	0.3892387701
471	0.3891839148
472	0.3891577124
473	0.3891127022
474	0.3890573681
475	0.3889563029
476	0.3889499659
477	0.3889258656
478	0.3889010747
479	0.3888934167
480	0.3888822657
481	0.38887178
482	0.3888152581
483	0.3887754781
484	0.3886908561
485	0.3885927088
486	0.3885927079
487	0.3885588311
488	0.3884822701
489	0.3884339676
490	0.3883954684
491	0.3883901397
492	0.3882853244
493	0.3882473526
494	0.3881238237
495	0.3880740292
496	0.3879951935
497	0.3879948381
498	0.3879707851
499	0.3879620551
500	0.3878556556
501	0.3878515868
502	0.3877969845
503	0.3877407696
504	0.3876376741
505	0.3875509684
506	0.3875180535
507	0.3874805952
508	0.387427079
509	0.3873917212
510	0.3873359998
511	0.3872860612
512	0.3871970295
513	0.3871348182
514	0.3871197869
515	0.3870668397
516	0.3870103144
517	0.3869683951
518	0.386914106
519	0.3868613223
520	0.3868326324
521	0.3868077586
522	0.3868016298
523	0.3867705649
524	0.386766495
