iter	Passed	Remaining
0	10	10239
1	20	10010
2	31	10468
3	42	10584
4	51	10151
5	61	10173
6	71	10200
7	83	10359
8	94	10420
9	106	10526
10	118	10694
11	133	10993
12	145	11014
13	156	11045
14	168	11060
15	179	11041
16	191	11073
17	203	11099
18	216	11199
19	230	11297
20	243	11355
21	256	11397
22	268	11404
23	285	11610
24	300	11727
25	314	11797
26	331	11955
27	346	12035
28	361	12118
29	379	12254
30	396	12391
31	416	12593
32	433	12705
33	453	12892
34	468	12917
35	484	12974
36	500	13027
37	516	13063
38	528	13030
39	543	13036
40	557	13036
41	572	13049
42	586	13047
43	600	13043
44	613	13021
45	626	12995
46	639	12971
47	652	12933
48	665	12923
49	679	12902
50	691	12872
51	703	12820
52	714	12765
53	720	12624
54	733	12611
55	745	12564
56	757	12525
57	768	12487
58	783	12490
59	798	12504
60	812	12502
61	824	12470
62	835	12421
63	845	12358
64	856	12326
65	868	12293
66	880	12258
67	890	12204
68	900	12154
69	911	12108
70	922	12071
71	933	12033
72	944	11990
73	955	11954
74	965	11911
75	976	11866
76	986	11823
77	996	11776
78	1006	11734
79	1016	11692
80	1027	11653
81	1043	11681
82	1053	11641
83	1063	11599
84	1074	11563
85	1084	11531
86	1095	11498
87	1107	11480
88	1119	11455
89	1130	11432
90	1143	11419
91	1149	11343
92	1161	11325
93	1172	11299
94	1184	11286
95	1195	11261
96	1202	11195
97	1213	11171
98	1225	11151
99	1236	11128
100	1247	11108
101	1260	11093
102	1273	11092
103	1286	11087
104	1298	11071
105	1309	11045
106	1320	11016
107	1330	10988
108	1340	10961
109	1351	10930
110	1361	10903
111	1371	10877
112	1381	10846
113	1392	10821
114	1403	10799
115	1413	10772
116	1424	10752
117	1435	10729
118	1445	10703
119	1456	10683
120	1467	10662
121	1479	10647
122	1490	10630
123	1503	10624
124	1515	10605
125	1527	10593
126	1538	10578
127	1550	10561
128	1564	10563
129	1579	10567
130	1592	10564
131	1605	10557
132	1617	10543
133	1631	10542
134	1642	10526
135	1654	10511
136	1666	10495
137	1679	10493
138	1694	10496
139	1707	10486
140	1717	10465
141	1728	10442
142	1738	10418
143	1748	10393
144	1758	10371
145	1768	10346
146	1779	10323
147	1789	10300
148	1799	10279
149	1810	10257
150	1820	10233
151	1830	10211
152	1840	10186
153	1850	10166
154	1860	10145
155	1872	10128
156	1882	10107
157	1892	10087
158	1902	10061
159	1916	10060
160	1926	10040
161	1937	10023
162	1948	10003
163	1958	9984
164	1968	9961
165	1978	9942
166	1988	9920
167	1999	9901
168	2009	9880
169	2019	9860
170	2029	9840
171	2039	9819
172	2049	9798
173	2060	9779
174	2070	9762
175	2081	9743
176	2092	9727
177	2103	9714
178	2113	9695
179	2124	9679
180	2134	9659
181	2145	9644
182	2157	9630
183	2168	9618
184	2179	9601
185	2191	9588
186	2202	9574
187	2213	9561
188	2225	9550
189	2237	9539
190	2246	9515
191	2258	9506
192	2270	9493
193	2281	9479
194	2293	9466
195	2304	9452
196	2315	9437
197	2340	9480
198	2353	9471
199	2367	9471
200	2380	9463
201	2393	9454
202	2405	9445
203	2419	9439
204	2433	9435
205	2444	9421
206	2458	9417
207	2468	9399
208	2480	9386
209	2490	9370
210	2501	9355
211	2513	9342
212	2524	9328
213	2535	9311
214	2545	9292
215	2557	9283
216	2568	9269
217	2582	9264
218	2596	9259
219	2607	9245
220	2619	9231
221	2631	9222
222	2642	9207
223	2654	9194
224	2665	9182
225	2677	9169
226	2690	9162
227	2702	9149
228	2717	9148
229	2730	9141
230	2744	9135
231	2756	9125
232	2767	9109
233	2778	9094
234	2788	9078
235	2799	9063
236	2810	9046
237	2821	9031
238	2831	9016
239	2843	9003
240	2854	8989
241	2867	8980
242	2878	8965
243	2889	8951
244	2900	8937
245	2911	8923
246	2923	8912
247	2935	8900
248	2946	8886
249	2958	8874
250	2969	8861
251	2982	8852
252	2994	8841
253	3006	8831
254	3018	8819
255	3030	8807
256	3042	8795
257	3053	8781
258	3065	8771
259	3078	8761
260	3090	8750
261	3102	8738
262	3114	8726
263	3127	8720
264	3142	8715
265	3157	8711
266	3185	8744
267	3218	8790
268	3234	8789
269	3246	8777
270	3257	8763
271	3268	8747
272	3279	8732
273	3289	8716
274	3299	8699
275	3310	8683
276	3321	8668
277	3332	8655
278	3343	8640
279	3354	8624
280	3365	8612
281	3377	8599
282	3389	8587
283	3400	8572
284	3412	8561
285	3423	8547
286	3435	8534
287	3446	8521
288	3458	8508
289	3470	8497
290	3483	8486
291	3495	8474
292	3507	8464
293	3521	8456
294	3534	8445
295	3548	8440
296	3560	8427
297	3571	8414
298	3584	8402
299	3595	8388
300	3605	8373
301	3617	8360
302	3628	8347
303	3640	8335
304	3653	8326
305	3665	8312
306	3675	8297
307	3686	8281
308	3696	8266
309	3708	8254
310	3721	8243
311	3732	8229
312	3745	8220
313	3756	8207
314	3769	8196
315	3781	8184
316	3792	8171
317	3804	8158
318	3816	8148
319	3830	8140
320	3842	8127
321	3855	8117
322	3867	8105
323	3880	8096
324	3892	8085
325	3904	8073
326	3919	8067
327	3936	8064
328	3950	8057
329	3963	8046
330	3975	8035
331	3987	8022
332	3998	8009
333	4010	7996
334	4021	7983
335	4033	7970
336	4044	7957
337	4056	7944
338	4068	7932
339	4079	7918
340	4090	7905
341	4102	7893
342	4114	7881
343	4126	7869
344	4138	7856
345	4151	7846
346	4162	7833
347	4173	7819
348	4185	7807
349	4198	7796
350	4209	7782
351	4220	7769
352	4232	7757
353	4245	7746
354	4258	7736
355	4272	7729
356	4287	7722
357	4300	7712
358	4314	7702
359	4327	7694
360	4340	7683
361	4352	7671
362	4366	7661
363	4378	7649
364	4390	7638
365	4402	7626
366	4416	7617
367	4430	7609
368	4444	7599
369	4456	7588
370	4467	7574
371	4479	7561
372	4489	7547
373	4500	7532
374	4511	7518
375	4521	7504
376	4532	7490
377	4544	7477
378	4555	7463
379	4567	7451
380	4578	7439
381	4590	7427
382	4602	7414
383	4613	7400
384	4625	7388
385	4635	7374
386	4647	7360
387	4659	7349
388	4671	7336
389	4681	7323
390	4693	7310
391	4704	7296
392	4716	7284
393	4728	7273
394	4740	7260
395	4751	7247
396	4763	7235
397	4775	7223
398	4787	7210
399	4798	7197
400	4810	7185
401	4822	7173
402	4833	7160
403	4845	7149
404	4858	7138
405	4870	7125
406	4885	7117
407	4898	7108
408	4909	7094
409	4920	7080
410	4931	7066
411	4942	7053
412	4953	7039
413	4963	7025
414	4974	7012
415	4985	6998
